"Date","Time","Open","High","Low","Close","Vol","OI","FastAvg","SlowAvg","SlowK","SlowD","OverBot","OverSld"
12/21/2016,22:00,116.80,117.40,116.78,117.06,23783165,0,116.49,112.91,93.74,92.29,80.00,20.00
12/22/2016,22:00,116.35,116.51,115.64,116.29,26085854,0,116.58,113.17,92.07,92.73,80.00,20.00
12/23/2016,22:00,115.80,116.52,115.59,116.52,14249484,0,116.69,113.40,90.20,92.00,80.00,20.00
12/27/2016,22:00,116.52,117.80,116.49,117.26,18296855,0,116.82,113.69,89.59,90.62,80.00,20.00
12/28/2016,22:00,117.52,118.02,116.20,116.76,20905892,0,116.78,113.95,88.61,89.47,80.00,20.00
12/29/2016,22:00,116.45,117.11,116.40,116.73,15039519,0,116.71,114.26,85.81,88.00,80.00,20.00
12/30/2016,22:00,116.65,117.20,115.43,115.82,30586265,0,116.62,114.58,74.54,82.99,80.00,20.00
01/03/2017,22:00,115.80,116.33,114.76,116.15,28781865,0,116.54,114.89,65.44,75.26,80.00,20.00
01/04/2017,22:00,115.85,116.51,115.75,116.02,21118116,0,116.30,115.24,53.52,64.50,80.00,20.00
01/05/2017,22:00,115.92,116.86,115.81,116.61,22193587,0,116.27,115.57,51.07,56.68,80.00,20.00
01/06/2017,22:00,116.78,118.16,116.47,117.91,31751900,0,116.50,115.91,63.10,55.90,80.00,20.00
01/09/2017,22:00,117.95,119.43,117.94,118.99,33561948,0,117.14,116.26,81.47,65.21,80.00,20.00
01/10/2017,22:00,118.77,119.38,118.30,119.11,24462051,0,117.73,116.51,92.07,78.88,80.00,20.00
01/11/2017,22:00,118.74,119.93,118.60,119.75,27588593,0,118.47,116.84,93.52,89.02,80.00,20.00
01/12/2017,22:00,118.90,119.30,118.21,119.25,27086220,0,119.00,117.04,92.14,92.58,80.00,20.00
01/13/2017,22:00,119.11,119.62,118.81,119.04,26111948,0,119.23,117.23,88.72,91.46,80.00,20.00
01/17/2017,22:00,118.34,120.24,118.22,120.00,34439843,0,119.43,117.44,88.56,89.80,80.00,20.00
01/18/2017,22:00,120.00,120.50,119.71,119.99,23712961,0,119.61,117.64,89.99,89.09,80.00,20.00
01/19/2017,22:00,119.40,120.09,119.37,119.78,25597291,0,119.61,117.80,91.33,89.96,80.00,20.00
01/20/2017,22:00,120.32,120.45,119.73,120.00,32597892,0,119.76,117.95,89.95,90.43,80.00,20.00
01/23/2017,22:00,120.00,120.81,119.77,120.08,22050218,0,119.97,118.10,88.88,90.05,80.00,20.00
01/24/2017,22:00,119.55,120.10,119.50,119.97,23211038,0,119.96,118.29,87.72,88.85,80.00,20.00
01/25/2017,22:00,120.42,122.10,120.28,121.88,32586673,0,120.34,118.56,89.71,88.77,80.00,20.00
01/26/2017,22:00,121.67,122.44,121.60,121.94,26337576,0,120.77,118.79,90.99,89.47,80.00,20.00
01/27/2017,22:00,122.14,122.35,121.60,121.95,20562944,0,121.16,119.05,92.78,91.16,80.00,20.00
01/30/2017,22:00,120.93,121.63,120.66,121.63,30377503,0,121.47,119.29,87.76,90.51,80.00,20.00
01/31/2017,22:00,121.15,121.39,120.62,121.35,49200993,0,121.75,119.57,81.56,87.36,80.00,20.00
02/01/2017,22:00,127.03,130.49,127.01,128.75,111985040,0,123.12,120.20,82.45,83.92,80.00,20.00
02/02/2017,22:00,127.98,129.39,127.78,128.53,33710411,0,124.44,120.83,83.36,82.45,80.00,20.00
02/03/2017,22:00,128.31,129.19,128.16,129.08,24507301,0,125.87,121.45,86.12,83.98,80.00,20.00
02/06/2017,22:00,128.94,130.50,128.90,130.29,26845924,0,127.60,122.07,89.96,86.48,80.00,20.00
02/07/2017,22:00,130.54,132.09,130.45,131.53,38183841,0,129.64,122.69,93.96,90.02,80.00,20.00
02/08/2017,22:00,131.35,132.22,131.22,132.04,23004072,0,130.29,123.34,97.40,93.78,80.00,20.00
02/09/2017,22:00,131.65,132.45,131.12,132.42,28349859,0,131.07,123.97,97.99,96.45,80.00,20.00
02/10/2017,22:00,132.46,132.94,132.05,132.12,20065458,0,131.68,124.62,97.37,97.59,80.00,20.00
02/13/2017,22:00,133.08,133.82,132.75,133.29,23035421,0,132.28,125.33,96.54,97.30,80.00,20.00
02/14/2017,22:00,133.47,135.09,133.25,135.02,33226223,0,132.98,126.08,96.57,96.83,80.00,20.00
02/15/2017,22:00,135.52,136.27,134.62,135.51,35623100,0,133.67,126.86,96.89,96.67,80.00,20.00
02/16/2017,22:00,135.67,135.90,134.84,135.35,22584555,0,134.26,127.64,96.18,96.55,80.00,20.00
02/17/2017,22:00,135.10,135.83,135.10,135.72,22198197,0,134.98,128.42,95.25,96.10,80.00,20.00
